City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Hithadhoo,-0.6,73.0833,82.96,73,65,9.22,MV,2022-05-20 20:34:22
59,Kumluca,36.3703,30.2869,69.67,59,7,4.14,TR,2022-05-20 20:34:23
60,Tieli,46.95,128.05,54.9,92,100,0.29,CN,2022-05-20 20:34:23
61,Luderitz,-26.6481,15.1594,52.41,73,1,10.51,NA,2022-05-20 20:34:23
62,East London,-33.0153,27.9116,61.65,73,100,9.13,ZA,2022-05-20 20:34:24
63,Codrington,-38.2667,141.9667,42.67,91,9,6.73,AU,2022-05-20 20:34:24
64,Ushuaia,-54.8,-68.3,46.06,61,20,6.91,AR,2022-05-20 20:30:23
65,Noumea,-22.2763,166.4572,77.0,99,100,18.48,NC,2022-05-20 20:34:25
66,Kavaratti,10.5669,72.642,82.27,79,99,11.07,IN,2022-05-20 20:34:25
67,Spearfish,44.4908,-103.8594,42.66,74,100,16.11,US,2022-05-20 20:34:26
68,Viedma,-40.8135,-62.9967,59.67,37,100,10.13,AR,2022-05-20 20:34:26
69,Jiaohe,43.7286,127.3447,55.54,76,92,4.9,CN,2022-05-20 20:34:27
70,Port Hardy,50.6996,-127.4199,53.6,81,20,5.75,CA,2022-05-20 20:34:27
71,Awbari,26.5921,12.7805,78.53,27,0,17.49,LY,2022-05-20 20:34:28
72,Karratha,-20.7377,116.8463,74.86,73,55,5.68,AU,2022-05-20 20:34:28
73,Georgetown,5.4112,100.3354,80.55,93,20,0.0,MY,2022-05-20 20:33:10
74,Tapes,-30.6733,-51.3958,56.21,76,0,4.54,BR,2022-05-20 20:34:29
75,Bonthe,7.5264,-12.505,79.68,83,94,7.2,SL,2022-05-20 20:34:29
76,Cholet,47.1667,-1.0,58.24,90,71,7.0,FR,2022-05-20 20:34:32
77,Bobrovka,54.047,61.7455,44.46,91,100,19.19,RU,2022-05-20 20:34:32
78,Guiyang,26.5833,106.7167,54.09,94,20,2.24,CN,2022-05-20 20:30:09
79,Sahuaripa,29.05,-109.2333,93.96,11,0,18.54,MX,2022-05-20 20:34:33
80,La Ferte-Bernard,48.1863,0.6536,64.02,87,11,1.61,FR,2022-05-20 20:34:34
81,Souillac,-20.5167,57.5167,75.58,83,40,8.05,MU,2022-05-20 20:34:34
82,Cape Town,-33.9258,18.4232,56.91,82,75,3.44,ZA,2022-05-20 20:34:34
83,Togur,58.3631,82.8265,49.82,82,52,14.38,RU,2022-05-20 20:34:35
84,Vao,-22.6667,167.4833,73.9,89,100,29.33,NC,2022-05-20 20:34:35
85,Kuching,1.55,110.3333,75.42,100,20,2.3,MY,2022-05-20 20:34:36
86,Port Alfred,-33.5906,26.891,57.18,94,100,1.99,ZA,2022-05-20 20:34:36
87,Nikolskoye,59.7035,30.7861,44.49,75,97,5.46,RU,2022-05-20 20:34:37
88,Kapaa,22.0752,-159.319,82.47,77,75,6.91,US,2022-05-20 20:34:37
89,Kruisfontein,-34.0033,24.7314,54.88,83,100,5.57,ZA,2022-05-20 20:34:38
90,Torbay,47.6666,-52.7314,52.57,54,75,10.36,CA,2022-05-20 20:34:38
91,Ketchikan,55.3422,-131.6461,59.47,58,0,11.5,US,2022-05-20 20:34:38
92,Namatanai,-3.6667,152.4333,80.19,81,37,6.04,PG,2022-05-20 20:35:39
93,Hermanus,-34.4187,19.2345,57.22,71,55,3.11,ZA,2022-05-20 20:35:39
94,Port Lincoln,-34.7333,135.8667,56.39,66,0,12.46,AU,2022-05-20 20:35:40
95,Conceicao Da Barra,-18.5933,-39.7322,68.09,67,0,6.4,BR,2022-05-20 20:35:40
96,Thompson,55.7435,-97.8558,37.56,65,100,12.66,CA,2022-05-20 20:35:41
97,Weatherford,32.7593,-97.7972,98.65,48,42,1.99,US,2022-05-20 20:32:30
98,Ribeira Grande,38.5167,-28.7,63.0,100,100,3.44,PT,2022-05-20 20:35:41
99,Nalut,30.3333,10.85,73.89,34,0,19.86,LY,2022-05-20 20:35:42
100,Bolkhov,53.4433,36.0044,46.31,74,100,8.46,RU,2022-05-20 20:35:42
101,Bandarbeyla,9.4942,50.8122,80.42,85,100,21.54,SO,2022-05-20 20:35:43
102,Necochea,-38.5473,-58.7368,53.98,56,100,8.84,AR,2022-05-20 20:35:43
103,Bairiki,1.3292,172.9752,82.4,74,20,9.22,KI,2022-05-20 20:35:44
104,Ngunguru,-35.6167,174.5,57.33,66,61,12.06,NZ,2022-05-20 20:35:44
105,Tolaga Bay,-38.3667,178.3,53.37,59,3,13.6,NZ,2022-05-20 20:35:45
106,Faanui,-16.4833,-151.75,80.29,73,19,11.61,PF,2022-05-20 20:35:45
107,Sosua,19.7667,-70.5167,98.58,74,20,16.11,DO,2022-05-20 20:35:46
108,Douentza,14.9951,-2.9517,93.33,21,60,5.75,ML,2022-05-20 20:35:46
109,Katherine,-14.4667,132.2667,70.12,68,0,3.44,AU,2022-05-20 20:35:47
110,Cayenne,4.9333,-52.3333,75.24,1,99,2.3,GF,2022-05-20 20:35:47
111,Nome,64.5011,-165.4064,62.67,39,0,14.97,US,2022-05-20 20:35:47
112,Santa Quiteria Do Maranhao,-3.5156,-42.5467,74.5,95,68,1.74,BR,2022-05-20 20:35:48
113,Dunedin,-45.8742,170.5036,47.8,65,70,15.01,NZ,2022-05-20 20:35:48
114,Chuy,-33.6971,-53.4616,53.73,72,25,5.61,UY,2022-05-20 20:35:49
115,Minab,27.1467,57.0801,80.92,50,0,0.0,IR,2022-05-20 20:35:49
116,Tazovskiy,67.4667,78.7,36.19,98,100,7.43,RU,2022-05-20 20:35:50
117,Bathsheba,13.2167,-59.5167,84.81,70,40,19.57,BB,2022-05-20 20:35:50
118,Spencer,43.1414,-95.1444,64.51,39,0,21.85,US,2022-05-20 20:35:51
119,Bolu,40.6667,31.5833,47.25,69,0,3.4,TR,2022-05-20 20:35:51
120,La Ronge,55.1001,-105.2842,48.45,27,75,18.41,CA,2022-05-20 20:35:52
121,Chokurdakh,70.6333,147.9167,34.07,100,100,7.05,RU,2022-05-20 20:35:52
122,Verkhoyansk,67.5447,133.385,38.48,68,26,3.51,RU,2022-05-20 20:35:52
123,Tashla,51.7716,52.7427,47.28,92,100,4.99,RU,2022-05-20 20:35:53
124,Victoria,22.2855,114.1577,79.95,82,9,1.99,HK,2022-05-20 20:33:26
